vehicle,year,fuel_type,engine_volume,vehicle_type,kpp_type,mileage,need_repair,prediction,true_value
Opel Astra,1996,бензин,1.4,седан,механика,270000.0,0,1505666.2,800000
Honda CR-V,2004,бензин,2.0,кроссовер,автомат,-999.0,0,4596942.0,5000000
Toyota Camry,2014,бензин,2.0,седан,автомат,190.0,0,6491975.5,8000000
Land Rover Range,2019,бензин,3.0,внедорожник,типтроник,18000.0,0,36500450.0,45000000
Volkswagen Jetta,1990,бензин,1.6,седан,механика,-999.0,0,765145.94,880000
Mazda 6,2006,бензин,3.0,лифтбек,автомат,-999.0,0,4622612.5,2800000
BMW 750,1996,бензин,5.4,седан,автомат,-999.0,0,3250461.5,3400000
Honda Jazz,2003,бензин,1.4,хэтчбек,вариатор,-999.0,0,2395345.8,2750000
Toyota Windom,1995,бензин,2.5,седан,автомат,-999.0,0,2022512.1,2500000
Lexus RX 300,1999,бензин,3.0,кроссовер,автомат,201.0,0,4292026.0,4800000
Subaru Forester,2003,бензин,2.5,кроссовер,автомат,-999.0,0,3762242.8,3900000
BMW 740,1995,бензин,4.0,седан,автомат,-999.0,0,3675807.5,3300000
Toyota RAV 4,2015,бензин,2.0,кроссовер,автомат,34800.0,0,11557318.0,11000000
Lexus LX 570,2017,бензин,5.7,внедорожник,автомат,42000.0,0,41013292.0,45000000
Toyota Hilux Surf,1996,дизель,3.0,внедорожник,автомат,-999.0,0,3306686.8,2500000
Mercedes-Benz E 230,1992,бензин,2.3,седан,автомат,480000.0,0,1761164.2,2400000
Volkswagen Passat,2004,бензин,2.3,седан,механика,297000.0,0,2758262.5,3000000
Mercedes-Benz S 280,1994,бензин,2.8,седан,механика,235000.0,0,1670994.9,2500000
Toyota Camry,2018,бензин,2.5,седан,автомат,101120.0,0,12298451.0,14390000
Renault Duster,2019,бензин,2.0,кроссовер,автомат,81000.0,0,6356307.5,7777777
Mitsubishi Lancer,1993,бензин,1.6,хэтчбек,механика,-999.0,0,1066542.4,500000
ВАЗ (Lada) 2108,1989,бензин,1.3,хэтчбек,механика,77600.0,0,1118962.0,720000
Toyota Sprinter Marino,1996,бензин,1.6,седан,автомат,-999.0,0,1416145.9,1200000
Toyota Yaris,2007,бензин,1.5,седан,автомат,175381.0,0,3729271.8,4500000
Hyundai Starex,2003,дизель,2.5,минивэн,автомат,-999.0,0,3672997.0,2800000
Daewoo Nexia,2007,газ-бензин,1.5,седан,механика,275000.0,0,1121575.6,750000
Ретро-автомобили СССР,1973,бензин,4.0,кабриолет,автомат,-999.0,0,18874706.0,24000000
Mazda 626,1991,бензин,2.0,лифтбек,механика,500000.0,0,1070892.8,1000000
BMW 730,1996,бензин,3.0,седан,автомат,350000.0,0,2310142.8,1000000
ГАЗ ГАЗель,1999,газ-бензин,2.9,пикап,механика,-999.0,0,2853703.2,3000000
Mercedes-Benz CL 500,2007,бензин,4.7,купе,вариатор,197000.0,0,6903989.0,4500000
Hyundai Accent,2013,бензин,1.6,седан,механика,246102.0,0,3122425.0,4800000
Toyota Land Cruiser,2012,газ-бензин,4.6,внедорожник,автомат,139659.0,0,19540160.0,19900000
Mazda 626,1991,бензин,2.0,седан,механика,-999.0,0,935691.0,800000
Audi A8,2001,бензин,4.2,седан,автомат,360000.0,0,2712001.8,2500000
Mazda 626,1990,бензин,2.0,лифтбек,механика,-999.0,0,821228.56,700000
Subaru Outback,2007,бензин,2.5,универсал,автомат,-999.0,0,4684934.0,4600000
Ravon Nexia R3,2017,бензин,1.5,седан,механика,94000.0,0,4112103.0,3900000
Lexus GS 300,1999,бензин,3.0,седан,автомат,-999.0,0,3308978.8,4700000
Toyota Camry,1992,газ-бензин,2.2,универсал,механика,-999.0,0,1807112.2,2300000
Mercedes-Benz S 500,2011,бензин,4.7,седан,автомат,89000.0,0,12378866.0,12000000
Lexus RX 300,1999,бензин,3.0,кроссовер,автомат,-999.0,0,4491621.0,4300000
Ford Bronco,1991,бензин,3.2,внедорожник,автомат,100000.0,0,4917627.5,6000000
Toyota Sequoia,2011,бензин,5.7,внедорожник,автомат,113085.0,0,20073542.0,20000000
Subaru Legacy,2002,бензин,2.0,универсал,автомат,-999.0,0,2604632.5,2650000
Mitsubishi Space Runner,1995,бензин,1.8,минивэн,механика,300.0,0,1703668.5,1850000
Audi 100,1987,бензин,1.8,седан,механика,229579.0,0,1226152.6,890000
