vehicle,year,fuel_type,engine_volume,vehicle_type,kpp_type,mileage,need_repair,prediction,true_value
Toyota Mark II,1997,бензин,2.5,седан,автомат,-999.0,0,2861749.5,2300000
Volkswagen Transporter,1998,дизель,2.4,минивэн,механика,90000.0,0,2479370.8,1800000
Audi A8,2012,бензин,3.0,седан,автомат,-999.0,0,11694000.0,11800000
Audi 100,1993,бензин,2.8,седан,механика,-999.0,0,1757275.0,2950000
Audi 90,1991,бензин,2.3,седан,механика,-999.0,0,713139.94,1300000
Suzuki Baleno,2000,бензин,1.6,универсал,механика,290000.0,0,1360103.0,1350000
Daewoo Nexia,2010,бензин,1.5,седан,механика,-999.0,0,1131186.9,1100000
Toyota Land Cruiser,2008,бензин,4.7,внедорожник,автомат,305000.0,0,13880388.0,13500000
Mitsubishi Pajero Junior,1996,бензин,1.1,внедорожник,механика,-999.0,0,1618353.4,1920000
ГАЗ ГАЗель,2011,бензин,2.9,фургон,механика,270000.0,0,3931660.2,3000000
Mercedes-Benz E 280,1993,бензин,2.8,седан,автомат,269511.0,0,2159870.0,1450000
Toyota Starlet,1994,бензин,1.3,хэтчбек,автомат,-999.0,0,988165.3,750000
Ford Escape,2006,бензин,2.3,кроссовер,автомат,179500.0,0,4116237.5,3500000
Mitsubishi Lancer,1993,бензин,1.6,седан,автомат,3420000.0,0,939702.25,1000000
Isuzu Trooper,1994,бензин,3.5,внедорожник,автомат,249395.0,0,3691161.8,2950000
Mitsubishi Delica,1996,дизель,2.5,минивэн,автомат,-999.0,0,2501548.8,1500000
Audi A6,1997,бензин,2.8,седан,автомат,80000.0,0,2880723.8,1800000
Volkswagen Polo,2005,бензин,1.4,хэтчбек,автомат,310000.0,0,2428149.8,2500000
Lexus RX 350,2007,бензин,3.5,кроссовер,автомат,151000.0,0,8139537.5,9000000
Mercedes-Benz CLS 500,2006,бензин,5.0,седан,автомат,140000.0,0,7051803.5,5000000
Toyota Camry,2010,бензин,2.4,седан,механика,-999.0,0,5763917.0,6300000
Volkswagen Transporter,1992,дизель,2.4,минивэн,механика,-999.0,0,2067188.8,1500000
Mercedes-Benz C 320,2000,бензин,3.2,седан,автомат,388000.0,0,2097292.2,3300000
Peugeot 301,2016,бензин,1.6,седан,механика,90000.0,0,3786675.8,3850000
Subaru Tribeca,2008,бензин,3.6,кроссовер,автомат,-999.0,0,7210680.5,6500000
Hyundai Accent,2014,бензин,1.6,седан,механика,125000.0,0,3783456.2,3500000
Toyota Carina E,1997,бензин,1.6,седан,механика,-999.0,0,1728818.9,1200000
Audi 100,1991,бензин,2.3,седан,механика,-999.0,0,1582064.0,700000
Honda Fit,2008,бензин,1.5,хэтчбек,механика,-999.0,0,1798367.2,2700000
Nissan Maxima,1995,бензин,2.0,седан,механика,-999.0,0,1509184.6,1850000
Hyundai Elantra,2004,бензин,2.0,седан,автомат,70000.0,0,3421812.8,3600000
Toyota Camry,2019,бензин,3.5,седан,автомат,36600.0,0,17932484.0,15000000
ГАЗ ГАЗель,2004,газ-бензин,2.4,фургон,механика,-999.0,0,3119190.5,2200000
Ford Focus,2016,бензин,1.6,хэтчбек,робот,78887.0,0,6615437.5,6500000
Toyota Camry,2002,бензин,3.0,седан,автомат,145526.0,0,4483067.5,4500000
Volkswagen Golf,1993,бензин,1.8,хэтчбек,автомат,-999.0,0,1215362.2,1300000
Daewoo Nexia,2008,бензин,1.5,седан,механика,-999.0,0,1040392.2,700000
Mercedes-Benz ML 320,2001,бензин,3.2,кроссовер,автомат,229000.0,0,3597706.0,3800000
Audi A6,2003,дизель,2.5,универсал,автомат,100000.0,0,3212588.0,2500000
Toyota Fortuner,2014,бензин,2.7,внедорожник,автомат,57000.0,0,11140056.0,14000000
Toyota Carina E,1992,бензин,2.0,седан,автомат,99999.0,0,2041674.1,1750000
ВАЗ (Lada) 2121,1998,бензин,1.7,внедорожник,механика,-999.0,0,1193544.2,650000
Nissan Patrol,2003,дизель,4.2,внедорожник,механика,-999.0,0,5671656.0,4500000
Toyota Camry,2018,бензин,2.5,седан,автомат,49000.0,0,13170901.0,13500000
Mitsubishi Pajero,1995,бензин,3.0,внедорожник,автомат,-999.0,0,2996477.0,3200000
BMW 525,1998,бензин,2.5,седан,типтроник,-999.0,0,2785644.2,2100000
Jaguar XE,2016,бензин,2.0,седан,автомат,35599.0,0,15055498.0,12990000
Mercedes-Benz C 320,2000,бензин,3.2,седан,автомат,-999.0,0,2158199.2,2300000
Dodge Challenger,2016,бензин,3.6,купе,автомат,100000.0,0,21936664.0,22500000
Daewoo Matiz,2013,бензин,0.8,хэтчбек,механика,-999.0,1,570256.5,570000
Subaru Outback,2001,газ-бензин,2.5,универсал,автомат,12345.0,0,2821647.8,2800000
Audi 100,1987,бензин,2.3,универсал,механика,-999.0,0,785956.1,800000
Toyota Tercel,1982,бензин,1.5,седан,механика,-999.0,0,385289.56,500000
Toyota Camry,2015,бензин,2.5,седан,автомат,137000.0,0,9889247.0,10100000
Toyota Camry,2007,бензин,2.4,седан,автомат,197000.0,0,5667164.0,5700000
Mazda 626,1990,бензин,2.0,седан,механика,111111.0,0,793066.94,970000
Toyota Avensis,2007,бензин,1.8,седан,автомат,225000.0,0,4618179.5,4800000
Lexus LX 570,2011,бензин,5.7,внедорожник,автомат,130000.0,0,19840076.0,19200000
Kia Rio,2017,бензин,1.6,седан,автомат,73000.0,0,4772664.0,4200000
Chevrolet Aveo,2013,бензин,1.6,седан,автомат,330639.0,0,2889454.5,3380000
Lexus RX 350,2007,бензин,3.5,кроссовер,автомат,75000.0,0,8403150.0,8200000
BMW 540,2001,бензин,4.4,седан,автомат,-999.0,0,3733799.8,3700000
Mitsubishi Galant,1991,бензин,1.8,хэтчбек,механика,600000.0,0,852319.1,600000
Toyota Town Ace,1997,дизель,2.2,минивэн,автомат,-999.0,0,2292190.2,1500000
Daihatsu Terios,2007,бензин,1.5,кроссовер,автомат,145000.0,0,4272027.5,5700000
Toyota Mark II,1993,бензин,2.0,седан,автомат,-999.0,0,1517106.4,1350000
Toyota Corolla,1996,бензин,1.6,универсал,автомат,-999.0,0,1864022.6,1800000
Toyota Camry,1999,бензин,2.2,седан,автомат,300000.0,0,3274435.2,2900000
Toyota Windom,1997,бензин,2.5,седан,автомат,-999.0,0,2538888.0,3500000
Honda Accord,2007,бензин,2.4,седан,автомат,91200.0,0,5179592.0,4800000
Toyota RAV 4,1996,бензин,2.0,кроссовер,автомат,-999.0,0,2812705.5,3000000
Toyota Carina E,1993,бензин,2.0,хэтчбек,автомат,2223.0,0,1462245.5,2800000
Toyota Mark II,2001,бензин,2.5,седан,автомат,-999.0,0,3315228.5,3500000
Daewoo Nexia,2013,бензин,1.5,седан,механика,-999.0,0,1518720.4,1100000
ВАЗ (Lada) 2107,2011,бензин,1.7,седан,механика,70000.0,0,2142424.0,1000000
Volkswagen Passat,1992,бензин,1.8,седан,механика,284000.0,0,1279091.4,1200000
Mitsubishi Chariot,1995,бензин,2.0,минивэн,автомат,-999.0,0,1619519.5,1600000
Kia Morning,2018,бензин,1.0,хэтчбек,автомат,31000.0,0,5044156.0,4950000
Honda CR-V,1999,бензин,2.0,кроссовер,автомат,-999.0,0,3591460.5,3300000
Toyota Camry,2008,бензин,2.4,седан,автомат,249000.0,0,5844201.0,6200000
Skoda Superb,2013,бензин,1.8,лифтбек,робот,152000.0,0,5022409.0,4900000
Toyota Caldina,1998,бензин,2.0,универсал,автомат,-999.0,0,2446496.2,2500000
Audi A6,2005,бензин,4.2,седан,автомат,262000.0,0,3936292.8,4000000
Honda CR-V,2002,бензин,2.4,кроссовер,автомат,-999.0,0,4394000.5,4400000
Nissan Maxima,1996,бензин,2.0,седан,механика,250000.0,0,1626222.2,1700000
Mazda 626,1989,бензин,2.0,седан,механика,-999.0,0,741082.75,600000
Bentley Arnage,2000,бензин,6.8,седан,автомат,50000.0,0,36491590.0,36750000
Lexus,2000,газ-бензин,3.0,кроссовер,автомат,120000.0,0,3851151.2,5000000
ГАЗ ГАЗель NEXT,2016,дизель,2.8,микроавтобус,механика,111111.0,0,6406220.0,6500000
ВАЗ (Lada) Priora,2013,бензин,1.6,универсал,механика,155000.0,0,1978698.9,2200000
ВАЗ (Lada) Priora,2015,бензин,1.6,седан,робот,150000.0,0,3441769.0,3150000
Infiniti G35,2005,бензин,3.5,седан,автомат,163360.0,0,5028742.0,4270000
Hyundai Veloster,2019,бензин,2.0,хэтчбек,механика,-999.0,0,13277506.0,11000000
Audi A6,2000,бензин,2.8,седан,типтроник,-999.0,0,2505826.2,2800000
Subaru Legacy,1996,бензин,2.5,универсал,автомат,-999.0,0,1931498.2,1599999
Mercedes-Benz E 280,1994,бензин,2.8,седан,автомат,-999.0,0,2420340.0,2700000
Honda Odyssey,1996,бензин,2.3,минивэн,автомат,-999.0,0,2255837.8,2500000
Toyota Alphard,2005,бензин,3.0,минивэн,автомат,-999.0,0,4601048.5,4300000
Toyota Land Cruiser,2000,бензин,4.5,внедорожник,механика,160000.0,1,5575634.0,3500000
